DName,DType,DN_DT,Jahr,Stromverbrauch(Haushalt)
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2014,1160
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2015,1180
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2016,1157
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2017,1148
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2018,1116
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2019,1196
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2020,1183
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2021,1248
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2022,1204
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2023,1097
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1991,1294
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1992,1318
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1993,1353
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1994,1338
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1995,1404
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1996,1492
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1997,1454
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1998,1478
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),1999,1497
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2000,1487
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2001,1519
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2002,1578
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2003,1630
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2004,1674
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2005,1784
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2006,1770
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2007,1734
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2008,1726
