DName,DType,DN_DT,Jahr,Stromverbrauch(Industrie)
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2008,1031
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2008,1961
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2008,1054
Heidenheim,Landkreis,Heidenheim (Landkreis),2008,1864
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2008,4477
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2008,156
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2008,7106
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2008,3927
Rastatt,Landkreis,Rastatt (Landkreis),2008,4189
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2008,498
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2008,5637
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2008,878
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2008,3675
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2008,715
Calw,Landkreis,Calw (Landkreis),2008,669
Enzkreis,Landkreis,Enzkreis (Landkreis),2008,1560
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2008,1369
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2008,1063
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2008,1673
Emmendingen,Landkreis,Emmendingen (Landkreis),2008,776
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2008,9105
Rottweil,Landkreis,Rottweil (Landkreis),2008,1760
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2008,1622
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2008,1716
Konstanz,Landkreis,Konstanz (Landkreis),2008,2104
Lörrach,Landkreis,Lörrach (Landkreis),2008,2625
Waldshut,Landkreis,Waldshut (Landkreis),2008,3302
Reutlingen,Landkreis,Reutlingen (Landkreis),2008,2336
Tübingen,Landkreis,Tübingen (Landkreis),2008,976
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2008,1541
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2008,1159
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2008,3257
Biberach,Landkreis,Biberach (Landkreis),2008,1870
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2008,1853
Ravensburg,Landkreis,Ravensburg (Landkreis),2008,2608
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2008,970
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2007,5600
Böblingen,Landkreis,Böblingen (Landkreis),2007,3837
Esslingen,Landkreis,Esslingen (Landkreis),2007,4673
Göppingen,Landkreis,Göppingen (Landkreis),2007,1956
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2007,3543
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2007,2089
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2007,1117
Heilbronn,Landkreis,Heilbronn (Landkreis),2007,3603
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2007,1018
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2007,1858
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2007,1050
Heidenheim,Landkreis,Heidenheim (Landkreis),2007,1773
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2007,4664
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2007,157
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2007,6984
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2007,3821
Rastatt,Landkreis,Rastatt (Landkreis),2007,4769
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2007,563
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2007,6180
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2007,871
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2007,3754
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2007,724
Calw,Landkreis,Calw (Landkreis),2007,642
Enzkreis,Landkreis,Enzkreis (Landkreis),2007,1619
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2007,1380
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2007,1113
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2007,1659
Emmendingen,Landkreis,Emmendingen (Landkreis),2007,768
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2007,9235
Rottweil,Landkreis,Rottweil (Landkreis),2007,1690
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2007,1726
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2007,1595
Konstanz,Landkreis,Konstanz (Landkreis),2007,2148
Lörrach,Landkreis,Lörrach (Landkreis),2007,2676
Waldshut,Landkreis,Waldshut (Landkreis),2007,3584
Reutlingen,Landkreis,Reutlingen (Landkreis),2007,2426
Tübingen,Landkreis,Tübingen (Landkreis),2007,679
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2007,1421
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2007,1085
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2007,3726
Biberach,Landkreis,Biberach (Landkreis),2007,1767
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2007,1811
Ravensburg,Landkreis,Ravensburg (Landkreis),2007,3453
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2007,958
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2006,5610
Böblingen,Landkreis,Böblingen (Landkreis),2006,3808
Esslingen,Landkreis,Esslingen (Landkreis),2006,4675
Göppingen,Landkreis,Göppingen (Landkreis),2006,1667
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2006,3427
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2006,1925
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2006,1148
Heilbronn,Landkreis,Heilbronn (Landkreis),2006,3590
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2006,972
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2006,1741
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2006,1000
Heidenheim,Landkreis,Heidenheim (Landkreis),2006,1651
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2006,4382
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2006,152
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2006,7078
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2006,3213
Rastatt,Landkreis,Rastatt (Landkreis),2006,4281
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2006,564
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2006,5475
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2006,816
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2006,3650
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2006,652
Calw,Landkreis,Calw (Landkreis),2006,617
Enzkreis,Landkreis,Enzkreis (Landkreis),2006,1519
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2006,1342
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2006,1121
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2006,1720
Emmendingen,Landkreis,Emmendingen (Landkreis),2006,778
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2006,8907
Rottweil,Landkreis,Rottweil (Landkreis),2006,1721
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2006,1550
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2006,1485
Konstanz,Landkreis,Konstanz (Landkreis),2006,2169
Lörrach,Landkreis,Lörrach (Landkreis),2006,2628
Waldshut,Landkreis,Waldshut (Landkreis),2006,3517
Reutlingen,Landkreis,Reutlingen (Landkreis),2006,2346
Tübingen,Landkreis,Tübingen (Landkreis),2006,666
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2006,1380
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2006,1052
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2006,3277
Biberach,Landkreis,Biberach (Landkreis),2006,1754
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2006,1709
Ravensburg,Landkreis,Ravensburg (Landkreis),2006,3324
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2006,905
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2005,5909
Böblingen,Landkreis,Böblingen (Landkreis),2005,3803
Esslingen,Landkreis,Esslingen (Landkreis),2005,4677
Göppingen,Landkreis,Göppingen (Landkreis),2005,1874
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2005,3317
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2005,1851
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2005,1130
Heilbronn,Landkreis,Heilbronn (Landkreis),2005,3492
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2005,927
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2005,1657
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2005,989
Heidenheim,Landkreis,Heidenheim (Landkreis),2005,1604
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2005,4286
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2005,148
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2005,7369
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2005,3090
Rastatt,Landkreis,Rastatt (Landkreis),2005,4956
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2005,422
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2005,5541
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2005,747
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2005,3768
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2005,571
Calw,Landkreis,Calw (Landkreis),2005,558
Enzkreis,Landkreis,Enzkreis (Landkreis),2005,1391
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2005,1245
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2005,1101
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2005,1583
Emmendingen,Landkreis,Emmendingen (Landkreis),2005,713
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2005,8527
Rottweil,Landkreis,Rottweil (Landkreis),2005,1652
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2005,1469
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2005,1378
Konstanz,Landkreis,Konstanz (Landkreis),2005,2061
Lörrach,Landkreis,Lörrach (Landkreis),2005,2562
Waldshut,Landkreis,Waldshut (Landkreis),2005,3428
Reutlingen,Landkreis,Reutlingen (Landkreis),2005,2334
Tübingen,Landkreis,Tübingen (Landkreis),2005,631
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2005,1325
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2005,1016
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2005,3243
Biberach,Landkreis,Biberach (Landkreis),2005,1606
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2005,1623
Ravensburg,Landkreis,Ravensburg (Landkreis),2005,3312
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2005,859
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2004,6052
Böblingen,Landkreis,Böblingen (Landkreis),2004,3893
Esslingen,Landkreis,Esslingen (Landkreis),2004,4818
Göppingen,Landkreis,Göppingen (Landkreis),2004,1868
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2004,3312
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2004,1911
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2004,1085
Heilbronn,Landkreis,Heilbronn (Landkreis),2004,3456
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2004,912
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2004,1509
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2004,1025
Heidenheim,Landkreis,Heidenheim (Landkreis),2004,1614
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2004,4149
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2004,146
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2004,6798
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2004,3065
Rastatt,Landkreis,Rastatt (Landkreis),2004,4509
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2004,426
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2004,5599
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2004,732
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2004,3723
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2004,577
Calw,Landkreis,Calw (Landkreis),2004,552
Enzkreis,Landkreis,Enzkreis (Landkreis),2004,1335
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2004,1207
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2004,1120
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2004,1681
Emmendingen,Landkreis,Emmendingen (Landkreis),2004,683
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2004,8303
Rottweil,Landkreis,Rottweil (Landkreis),2004,1646
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2004,1412
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2004,1299
Konstanz,Landkreis,Konstanz (Landkreis),2004,2041
Lörrach,Landkreis,Lörrach (Landkreis),2004,2440
Waldshut,Landkreis,Waldshut (Landkreis),2004,3300
Reutlingen,Landkreis,Reutlingen (Landkreis),2004,2121
Tübingen,Landkreis,Tübingen (Landkreis),2004,610
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2004,1185
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2004,989
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2004,3062
Biberach,Landkreis,Biberach (Landkreis),2004,1507
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2004,1580
Ravensburg,Landkreis,Ravensburg (Landkreis),2004,3138
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2004,797
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2003,5657
Böblingen,Landkreis,Böblingen (Landkreis),2003,3884
Esslingen,Landkreis,Esslingen (Landkreis),2003,4830
Göppingen,Landkreis,Göppingen (Landkreis),2003,1783
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2003,3259
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2003,1842
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2003,1044
Heilbronn,Landkreis,Heilbronn (Landkreis),2003,3161
Hohenlohekreis,Landkreis,Hohenlohekreis (Landkreis),2003,854
Schwäbisch Hall,Landkreis,Schwäbisch Hall (Landkreis),2003,1456
Main-Tauber-Kreis,Landkreis,Main-Tauber-Kreis (Landkreis),2003,1000
Heidenheim,Landkreis,Heidenheim (Landkreis),2003,1610
Ostalbkreis,Landkreis,Ostalbkreis (Landkreis),2003,4027
Baden-Baden,kreisfreie Stadt,Baden-Baden (kreisfreie Stadt),2003,138
Karlsruhe,kreisfreie Stadt,Karlsruhe (kreisfreie Stadt),2003,6843
Karlsruhe,Landkreis,Karlsruhe (Landkreis),2003,3103
Rastatt,Landkreis,Rastatt (Landkreis),2003,5612
Heidelberg,kreisfreie Stadt,Heidelberg (kreisfreie Stadt),2003,409
Mannheim,kreisfreie Stadt,Mannheim (kreisfreie Stadt),2003,5333
Neckar-Odenwald-Kreis,Landkreis,Neckar-Odenwald-Kreis (Landkreis),2003,728
Rhein-Neckar-Kreis,Landkreis,Rhein-Neckar-Kreis (Landkreis),2003,3627
Pforzheim,kreisfreie Stadt,Pforzheim (kreisfreie Stadt),2003,556
Calw,Landkreis,Calw (Landkreis),2003,522
Enzkreis,Landkreis,Enzkreis (Landkreis),2003,1332
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2003,1154
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2003,1229
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2003,1668
Emmendingen,Landkreis,Emmendingen (Landkreis),2003,657
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2003,8147
Rottweil,Landkreis,Rottweil (Landkreis),2003,1464
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2003,1360
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2003,1452
Konstanz,Landkreis,Konstanz (Landkreis),2003,2008
Lörrach,Landkreis,Lörrach (Landkreis),2003,2437
Waldshut,Landkreis,Waldshut (Landkreis),2003,3095
Reutlingen,Landkreis,Reutlingen (Landkreis),2003,2091
Tübingen,Landkreis,Tübingen (Landkreis),2003,571
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2003,1145
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2003,964
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2003,2897
Biberach,Landkreis,Biberach (Landkreis),2003,1398
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2003,1573
Ravensburg,Landkreis,Ravensburg (Landkreis),2003,3110
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2003,750
