DName,DType,DN_DT,Jahr,Stromverbrauch(Industrie)
Freudenstadt,Landkreis,Freudenstadt (Landkreis),2014,1342
Freiburg im Breisgau,kreisfreie Stadt,Freiburg im Breisgau (kreisfreie Stadt),2014,992
Breisgau-Hochschwarzwald,Landkreis,Breisgau-Hochschwarzwald (Landkreis),2014,1777
Emmendingen,Landkreis,Emmendingen (Landkreis),2014,786
Ortenaukreis,Landkreis,Ortenaukreis (Landkreis),2014,8360
Rottweil,Landkreis,Rottweil (Landkreis),2014,1684
Schwarzwald-Baar-Kreis,Landkreis,Schwarzwald-Baar-Kreis (Landkreis),2014,1760
Tuttlingen,Landkreis,Tuttlingen (Landkreis),2014,1981
Konstanz,Landkreis,Konstanz (Landkreis),2014,2052
Lörrach,Landkreis,Lörrach (Landkreis),2014,2322
Waldshut,Landkreis,Waldshut (Landkreis),2014,1470
Reutlingen,Landkreis,Reutlingen (Landkreis),2014,2351
Tübingen,Landkreis,Tübingen (Landkreis),2014,701
Zollernalbkreis,Landkreis,Zollernalbkreis (Landkreis),2014,1505
Ulm,kreisfreie Stadt,Ulm (kreisfreie Stadt),2014,1035
Alb-Donau-Kreis,Landkreis,Alb-Donau-Kreis (Landkreis),2014,3327
Biberach,Landkreis,Biberach (Landkreis),2014,2032
Bodenseekreis,Landkreis,Bodenseekreis (Landkreis),2014,1803
Ravensburg,Landkreis,Ravensburg (Landkreis),2014,2574
Sigmaringen,Landkreis,Sigmaringen (Landkreis),2014,1020
Stuttgart,kreisfreie Stadt,Stuttgart (kreisfreie Stadt),2013,4170
Böblingen,Landkreis,Böblingen (Landkreis),2013,3192
Esslingen,Landkreis,Esslingen (Landkreis),2013,4467
Göppingen,Landkreis,Göppingen (Landkreis),2013,1687
Ludwigsburg,Landkreis,Ludwigsburg (Landkreis),2013,3054
Rems-Murr-Kreis,Landkreis,Rems-Murr-Kreis (Landkreis),2013,1927
Heilbronn,kreisfreie Stadt,Heilbronn (kreisfreie Stadt),2013,1031
